epoch,icmp_seq,rtt_ms
1788088524.170796,266,30.1
1788088524.67,267,29.6
1788088525.170246,268,28.7
1788088525.670004,269,28.2
1788088526.170084,270,27.5
1788088526.670117,271,27.4
1788088527.157998,272,13.8
1788088527.670213,273,24.6
1788088528.169806,274,23.0
1788088528.670793,275,23.4
1788088529.169845,276,21.5
1788088529.677781,277,28.4
1788088530.169866,278,19.5
1788088530.680835,279,29.4
1788088531.167785,280,15.4
1788088531.679763,281,26.4
1788088532.187804,282,33.5
1788088532.699733,283,45.4
1788088533.179771,284,24.5
1788088533.687575,285,32.2
1788088534.187805,286,31.7
1788088534.687722,287,31.4
1788088535.181623,288,24.3
1788088535.679571,289,22.4
1788088536.179569,290,21.4
1788088536.6796,291,21.4
1788088537.180482,292,21.3
1788088537.693685,293,34.6
1788088538.189584,294,29.3
1788088538.689554,295,29.4
1788088539.189531,296,28.4
1788088539.697937,297,36.8
1788088540.190708,298,28.2
1788088540.689541,299,27.3
1788088541.189409,300,26.3
1788088541.689285,301,26.3
1788088542.191356,302,27.5
1788088542.689401,303,25.5
1788088543.189263,304,24.5
1788088543.689257,305,24.4
1788088544.197444,306,31.6
1788088544.689379,307,23.6
1788088545.189361,308,22.4
1788088545.697299,309,30.4
1788088546.182231,310,14.4
1788088546.697221,311,29.4
1788088547.189547,312,20.8
1788088547.7011,313,32.0
1788088548.199156,314,29.5
1788088548.699154,315,29.4
1788088549.199212,316,28.5
1788088549.699286,317,27.5
1788088550.199125,318,26.3
1788088550.689188,319,15.5
1788088551.199119,320,24.4
1788088551.708126,321,32.4
1788088552.199109,322,22.4
1788088552.715057,323,37.4
1788088553.199336,324,20.7
1788088553.72524,325,45.3
1788088554.194943,326,14.1
1788088554.709045,327,27.5
1788088555.208938,328,26.3
1788088555.709063,329,25.6
1788088556.209006,330,24.4
1788088556.709147,331,23.6
1788088557.209017,332,22.2
1788088557.716807,333,29.2
1788088558.208804,334,20.4
1788088558.72695,335,37.6
1788088559.2201,336,29.6
1788088559.726942,337,35.3
1788088560.227815,338,35.3
1788088560.718871,339,25.5
1788088561.21894,340,24.5
1788088561.726938,341,31.4
1788088562.218739,342,22.2
1788088562.718768,343,21.4
1788088563.218724,344,20.4
1788088563.728803,345,29.5
1788088564.228818,346,28.4
1788088564.728624,347,27.2
1788088565.228717,348,26.5
1788088565.728799,349,25.5
1788088566.236922,350,32.5
1788088566.728566,351,23.0
1788088567.228592,352,22.4
1788088567.728556,353,21.4
1788088568.228624,354,20.8
1788088568.738661,355,29.9
1788088569.238549,356,28.5
1788088569.73857,357,27.5
1788088570.238556,358,26.4
1788088570.738448,359,25.3
1788088571.238769,360,24.9
1788088571.738664,361,24.3
1788088572.254806,362,39.4
1788088572.738647,363,22.1
1788088573.23872,364,21.3
1788088573.748702,365,30.2
1788088574.24869,366,29.2
1788088574.748737,367,28.3
1788088575.24862,368,27.1
1788088575.748695,369,26.8
1788088576.25656,370,33.1
1788088576.748806,371,24.5
1788088577.248615,372,23.0
1788088577.748653,373,22.4
1788088578.248323,374,21.0
1788088578.759622,375,30.9
1788088579.25833,376,29.1
1788088579.758375,377,28.4
1788088580.258536,378,27.4
1788088580.758574,379,26.4
1788088581.258459,380,25.1
