utc,lte1_max_limit,lte2_max_limit,lte1_bytes,lte2_bytes,cpu_load_pct
2026-08-30T11:15:47Z,,,0,2484,14
2026-08-30T11:15:49Z,,,0,2484,8
2026-08-30T11:15:52Z,,,0,2484,4
2026-08-30T11:15:54Z,,,0,4968,17
2026-08-30T11:15:56Z,,,0,2484,9
2026-08-30T11:15:59Z,,,0,3726,4
2026-08-30T11:16:01Z,,,0,2484,22
2026-08-30T11:16:04Z,,,0,3726,16
2026-08-30T11:16:06Z,,,0,3726,17
2026-08-30T11:16:09Z,,,0,3726,22
2026-08-30T11:16:11Z,,,0,3726,8
2026-08-30T11:16:13Z,,,0,0,3
2026-08-30T11:16:16Z,,,0,0,15
2026-08-30T11:16:18Z,,,0,0,17
2026-08-30T11:16:20Z,,,0,0,1
2026-08-30T11:16:22Z,,,0,0,10
2026-08-30T11:16:25Z,,,0,0,8
2026-08-30T11:16:27Z,,,0,0,3
2026-08-30T11:16:30Z,,,0,0,10
2026-08-30T11:16:32Z,,,0,0,19
